Country,PKB per capita,Zarobki osobiste
Russia,9054.914,20885.0
Turkey,9437.372,16919.0
Hungary,12239.893999999998,20948.0
Poland,12495.333999999999,22655.0
Slovak Republic,15991.736,20307.0
Estonia,17288.083,18944.0
Greece,18064.288,25503.0
Portugal,19121.592,23688.0
Slovenia,20732.482,32037.0
Spain,25864.721,34824.0
Korea,27195.197,36354.0
Italy,29866.581000000002,34561.0
Japan,32485.545,35405.0
Israel,35343.336,28817.0
New Zealand,37044.891,35609.0
France,37675.006,40242.0
Belgium,40106.632000000005,48082.0
Germany,40996.511,43682.0
Finland,41973.988,40060.0
Canada,43331.960999999996,46911.0
Netherlands,43603.115,47590.0
Austria,43724.030999999995,45199.0
United Kingdom,43770.687999999995,41192.0
Sweden,49866.265999999996,40818.0
Iceland,50854.583,55716.0
Australia,50961.865,50449.0
Ireland,51350.744000000006,49506.0
Denmark,52114.165,48347.0
United States,55805.204000000005,56340.0
